Date,Market_Excess_Return,Small_Minus_Big,High_Minus_Low,Risk_Free_Rate
2014-12-01,-0.0005,0.0253,0.0212,0.0
2015-01-01,-0.031,-0.0059,-0.0345,0.0
2015-02-01,0.0613,0.0061,-0.0179,0.0
2015-03-01,-0.0111,0.0305,-0.0038,0.0
2015-04-01,0.0059,-0.0299,0.018,0.0
2015-05-01,0.0137,0.0095,-0.0111,0.0
2015-06-01,-0.0152,0.0294,-0.0082,0.0
2015-07-01,0.0157,-0.0417,-0.0416,0.0
2015-08-01,-0.0602,0.0037,0.0275,0.0
2015-09-01,-0.0306,-0.0263,0.0055,0.0
2015-10-01,0.0775,-0.019,-0.0047,0.0
2015-11-01,0.0057,0.0358,-0.0043,0.0
2015-12-01,-0.0215,-0.028,-0.0257,0.0001
2016-01-01,-0.0574,-0.034,0.0208,0.0001
2016-02-01,-0.0006,0.0073,-0.0061,0.0002
2016-03-01,0.0695,0.0075,0.0122,0.0002
2016-04-01,0.0092,0.0077,0.0322,0.0001
2016-05-01,0.0178,-0.0018,-0.0162,0.0001
2016-06-01,-0.0003,0.006,-0.0149,0.0002
2016-07-01,0.0394,0.0245,-0.0124,0.0002
2016-08-01,0.0049,0.0117,0.0317,0.0002
2016-09-01,0.0027,0.0208,-0.0119,0.0002
2016-10-01,-0.0201,-0.0439,0.0411,0.0002
2016-11-01,0.0486,0.056,0.0829,0.0001
2016-12-01,0.0181,0.0014,0.0347,0.0003
2017-01-01,0.0194,-0.0116,-0.0276,0.0004
2017-02-01,0.0355,-0.0215,-0.015,0.0004
2017-03-01,0.0017,0.0113,-0.0333,0.0003
2017-04-01,0.0108,0.0066,-0.0205,0.0005
2017-05-01,0.0107,-0.0252,-0.0382,0.0006
2017-06-01,0.0079,0.0221,0.015,0.0006
2017-07-01,0.0188,-0.0145,-0.0023,0.0007
2017-08-01,0.0018,-0.0167,-0.0213,0.0009
2017-09-01,0.0249,0.0445,0.0315,0.0009
2017-10-01,0.0226,-0.0193,0.0013,0.0009
2017-11-01,0.0312,-0.006,-0.0009,0.0008
2017-12-01,0.0106,-0.0132,0.0005,0.0009
2018-01-01,0.0558,-0.0316,-0.0132,0.0011
2018-02-01,-0.0364,0.0027,-0.011,0.0011
2018-03-01,-0.0235,0.0405,-0.0021,0.0012
2018-04-01,0.0027,0.0109,0.0053,0.0014
2018-05-01,0.0266,0.0524,-0.0314,0.0014
2018-06-01,0.0049,0.0111,-0.0233,0.0014
2018-07-01,0.032,-0.0223,0.0049,0.0016
2018-08-01,0.0345,0.0114,-0.0391,0.0016
2018-09-01,0.0006,-0.0229,-0.0162,0.0015
2018-10-01,-0.0765,-0.047,0.0338,0.0019
2018-11-01,0.0171,-0.0073,0.0036,0.0018
2018-12-01,-0.0955,-0.0231,-0.0192,0.0019
2019-01-01,0.0837,0.0276,-0.0039,0.0021
2019-02-01,0.0342,0.0205,-0.0266,0.0018
2019-03-01,0.011,-0.0303,-0.0414,0.0019
2019-04-01,0.0397,-0.0174,0.0213,0.0021
2019-05-01,-0.0692,-0.0126,-0.0245,0.0021
2019-06-01,0.0699,0.0011,-0.0064,0.0018
2019-07-01,0.0123,-0.0196,0.005,0.0019
2019-08-01,-0.0255,-0.0239,-0.0477,0.0016
2019-09-01,0.0141,-0.0097,0.0676,0.0018
2019-10-01,0.0207,0.0027,-0.0192,0.0015
2019-11-01,0.0387,0.0072,-0.02,0.0012
2019-12-01,0.0277,0.0076,0.0173,0.0014
2020-01-01,-0.0011,-0.031,-0.0622,0.0013
2020-02-01,-0.0815,0.0108,-0.0382,0.0012
2020-03-01,-0.1337,-0.0469,-0.1383,0.0012
2020-04-01,0.136,0.025,-0.0134,0.0
2020-05-01,0.0557,0.024,-0.05,0.0001
2020-06-01,0.0245,0.0267,-0.0217,0.0001
2020-07-01,0.0583,-0.0235,-0.0144,0.0001
2020-08-01,0.0762,-0.002,-0.0302,0.0001
2020-09-01,-0.0364,0.0006,-0.0272,0.0001
2020-10-01,-0.0208,0.0434,0.0425,0.0001
2020-11-01,0.1245,0.0581,0.0209,0.0001
2020-12-01,0.0463,0.0501,-0.0168,0.0001
2021-01-01,-0.0007,0.0714,0.0322,0.0
2021-02-01,0.0281,0.0202,0.072,0.0
2021-03-01,0.0316,-0.0233,0.0735,0.0
2021-04-01,0.0495,-0.0319,-0.0102,0.0
2021-05-01,0.003,-0.002,0.0704,0.0
2021-06-01,0.0274,0.017,-0.0786,0.0
2021-07-01,0.0134,-0.0393,-0.0179,0.0
2021-08-01,0.0294,-0.0032,-0.0023,0.0
2021-09-01,-0.044,0.0066,0.0512,0.0
2021-10-01,0.0663,-0.0226,-0.0053,0.0
2021-11-01,-0.0158,-0.0131,-0.0037,0.0
2021-12-01,0.0323,-0.0163,0.0325,0.0001
2022-01-01,-0.0616,-0.0593,0.1286,0.0
2022-02-01,-0.0228,0.0216,0.0306,0.0
2022-03-01,0.0308,-0.0155,-0.019,0.0
2022-04-01,-0.0941,-0.0135,0.0618,0.0
2022-05-01,-0.0034,-0.0184,0.0844,0.0003
2022-06-01,-0.084,0.0207,-0.06,0.0006
2022-07-01,0.0957,0.0284,-0.0415,0.0008
2022-08-01,-0.0377,0.0141,0.0018,0.0019
2022-09-01,-0.0934,-0.0076,0.0003,0.0019
2022-10-01,0.0785,0.0001,0.0797,0.0023
2022-11-01,0.0465,-0.0357,0.0148,0.0029
2022-12-01,-0.0638,-0.0076,0.0134,0.0033
2023-01-01,0.0661,0.0501,-0.0394,0.0035
2023-02-01,-0.0257,0.0105,-0.008,0.0034
2023-03-01,0.0248,-0.0548,-0.0905,0.0036
2023-04-01,0.0062,-0.0337,-0.0012,0.0035
2023-05-01,0.0034,0.016,-0.0779,0.0036
2023-06-01,0.0646,0.0149,-0.0013,0.004
2023-07-01,0.0321,0.0205,0.0406,0.0045
2023-08-01,-0.0236,-0.0314,-0.0115,0.0045
2023-09-01,-0.0523,-0.0251,0.0149,0.0043
2023-10-01,-0.0315,-0.0386,0.002,0.0047
2023-11-01,0.0888,-0.001,0.0167,0.0044
2023-12-01,0.0485,0.063,0.0489,0.0043
2024-01-01,0.0073,-0.0507,-0.0238,0.0047
2024-02-01,0.0507,-0.0024,-0.0343,0.0042
2024-03-01,0.0284,-0.025,0.0416,0.0043
2024-04-01,-0.0465,-0.0237,-0.0045,0.0047
2024-05-01,0.0433,0.0055,-0.0131,0.0044
2024-06-01,0.028,-0.03,-0.0336,0.0041
2024-07-01,0.0122,0.0681,0.0562,0.0045
2024-08-01,0.016,-0.0349,-0.011,0.0048
2024-09-01,0.0172,-0.0013,-0.0276,0.004
2024-10-01,-0.01,-0.0099,0.0086,0.0039
2024-11-01,0.0649,0.0446,0.0016,0.004
2024-12-01,-0.0317,-0.0271,-0.03,0.0037
2025-01-01,0.028,-0.0197,0.0163,0.0037
2025-02-01,-0.0244,-0.0579,0.0491,0.0033
2025-03-01,-0.0639,-0.0276,0.029,0.0034
2025-04-01,-0.0084,-0.0059,-0.0341,0.0035
2025-05-01,0.0606,0.007,-0.0288,0.0038
2025-06-01,0.0486,0.0083,-0.0161,0.0034
2025-07-01,0.0198,0.0027,-0.0127,0.0034
2025-08-01,0.0184,0.0387,0.0442,0.0038
2025-09-01,0.0339,-0.0185,-0.0105,0.0033
2025-10-01,0.0196,-0.0055,-0.031,0.0037
2025-11-01,-0.0013,0.0038,0.0376,0.003
2025-12-01,-0.0036,-0.0106,0.0242,0.0034
